ID,Ojibwe Word,Word Class,English Translation
754,aanji-bimaadizi,vai,change one's life; Isg indaanji- bimaadiz; prt ayaanji-bimaadizid
755,aanjibii'an,vti,write s.t. over; Isg indaanjibii'aan; pn ayaanjibii'ang
756,aanji-gozi,vai,move to a new residence; Isg indaanji-goz; prt ayaanji-gozid
757,aanji',vta,"change s.o., make s.o. over; Isg indaanji'aa; prt ayaanji'aad"
758,aanjitoon,vti2,"change s.t., make s.t. over; Isg indaanjitoon; prt ayaanjitood aano- pvl in vain, without result"
762,aanzikonaye',vta,change s.o.'s clothes; Isg indaanzikonaye'aa; prt ayaanzikonaye'aad
763,aanzinaago',vta,"change s.o.'s appearance, transform s.o.; Isg indaanzinaago'aa; pn ayaanzinaago'aad"
764,aanzinaago'idizo,vai,"change one's own appear- ance, transform oneself; Isg indaanzinaago'idiz; prt ayaanzinaago'idizod"
765,aanzinaagotoon,vti2,"change s.t.'s appearance, transform s.t.; Isg indaanzinaagotoon; pn ayaanzinaagotood"
767,aanzinaagwad,vii,look changed; prt ayaanzinaagwak
769,aapidaanagidoon,vai,"talk without stopping; Isg indaapidaanagidoon; pn ayaapidaanagidoong aapidegpc without a doubt, certainly"
771,aapiji,pc,"very, quite"
772,aapijibatoo,vai,run away for good; Isg indaapijibatoo; prt ayaapijibatood aapijinazh /aapijinaN-/ vta finally and completely kills.o.; Isg indaapijinanaa; prt ayaapijinanaad
776,aapiji-wiidige-mazina'igan,ni,marriage license; pi aapiji-wiidige-mazina'iganan
777,aas,ni,legging; pi aasan
780,aasodoodooshimebizon,ni,brassiere; pi aasodoodooshimebizonan; loc aasodoodooshimebizoning; dim aasodoodooshimebizonens
781,aatayaa,pc,man's expression of mild displeasure or disdain; also taayaa
782,aate,vii,"be extinguished; pn ayaateg; aug aatemagad; prt aug ayaatemagak aatebidoon vri2 turn s.t. out (e.g., stove or lamp); Isg indaatebidoon; prt ayaatebidood aatebizh /aatebiN-/ vta put out a fire on s.o. with hands; Isg indaatebinaa; prt ayaatebinaad"
783,aatebii,vai,"sober up; Isg indaatebii; prt ayaatebiid aate'an TO put s.t. out (e.g., fire or light), extinguish s.t.; Isg indaate'aan; pn ayaate'ang"
784,aate'igan,ni,fire extinguisher; pi aate'iganan; loc aate'iganing; dim aate'igaans
785,aate'ishkodawewidaabaan,na,fire truck; toe aate'ishkodawewidaabaaning; dim aate'ishkodawewidaabaanens
786,aate'ishkodawewinini,na,fireman; pi aate'ishkodawewininiwag; dim aate'ishkodawewininiins
787,aatenaagozi,vai,"appear to be extinguished (e.g., the moon or sun in an eclipse); prt ayaatenaagozid"
788,aatewebinan,vti,"put s.t. out quickly (e.g., fire or light); Isg indaatewebinaan; prt ayaatewebinang"
789,aateyaabikishin,vai,be darkened (e.g. the moon or sun in an eclipse); prt ayaateyaabikishing
792,aatwaakosidoon,vti2,lean s.t. against (as something stick- or wood-like); Isg indaatwaakosidoon; prt ayaatwaakosidood
797,aawadaasoowidaabaan,na,truck; pi aawadaasoowidaabaanag; loc aawadaasoowidaabaaning; dim aawadaasoowidaabaanens
798,aawadoon,vti2,haul s.t.; Isg indaawadoon; prt ayaawadood
799,aawajimine,vai,haul wild rice; Isg indaawajimine; prt ayaawajimined
